sportsbook,sport,league_info,game_date,game_time,game_participants,market,bet_selection_name,price,time_retrieved,suspended,line
DraftKings,Football,NFL,2024-10-22,01:00:00,LA Chargers @ ARI Cardinals,Total Alternate,Under 56,−534,2024-10-21T02:32:39.63124Z,False,ALTERNATE
DraftKings,Football,NFL,2024-10-22,00:15:00,BAL Ravens @ TB Buccaneers,Total Alternate,Over 56.5,+191,2024-10-21T02:32:39.77633Z,False,ALTERNATE
DraftKings,Football,NFL,2024-10-22,01:00:00,LA Chargers @ ARI Cardinals,Total Alternate,Over 56.5,+395,2024-10-21T02:32:39.92479Z,False,ALTERNATE
DraftKings,Football,NFL,2024-10-22,00:15:00,BAL Ravens @ TB Buccaneers,Total Alternate,Under 56.5,−239,2024-10-21T02:32:40.05178Z,False,ALTERNATE
DraftKings,Football,NFL,2024-10-22,01:00:00,LA Chargers @ ARI Cardinals,Total Alternate,Under 56.5,−546,2024-10-21T02:32:40.18976Z,False,ALTERNATE
DraftKings,Football,NFL,2024-10-22,00:15:00,BAL Ravens @ TB Buccaneers,Total Alternate,Over 57,+210,2024-10-21T02:32:40.32281Z,False,ALTERNATE
DraftKings,Football,NFL,2024-10-22,01:00:00,LA Chargers @ ARI Cardinals,Total Alternate,Over 57,+443,2024-10-21T02:32:40.45589Z,False,ALTERNATE
DraftKings,Football,NFL,2024-10-22,00:15:00,BAL Ravens @ TB Buccaneers,Total Alternate,Under 57,−264,2024-10-21T02:32:40.59220Z,False,ALTERNATE
DraftKings,Football,NFL,2024-10-22,01:00:00,LA Chargers @ ARI Cardinals,Total Alternate,Under 57,−630,2024-10-21T02:32:40.72930Z,False,ALTERNATE
DraftKings,Football,NFL,2024-10-22,00:15:00,BAL Ravens @ TB Buccaneers,Total Alternate,Over 57.5,+219,2024-10-21T02:32:40.85035Z,False,ALTERNATE
DraftKings,Football,NFL,2024-10-22,01:00:00,LA Chargers @ ARI Cardinals,Total Alternate,Over 57.5,+454,2024-10-21T02:32:41.09429Z,False,ALTERNATE
DraftKings,Football,NFL,2024-10-22,00:15:00,BAL Ravens @ TB Buccaneers,Total Alternate,Under 57.5,−277,2024-10-21T02:32:41.23282Z,False,ALTERNATE
DraftKings,Football,NFL,2024-10-22,01:00:00,LA Chargers @ ARI Cardinals,Total Alternate,Under 57.5,−650,2024-10-21T02:32:41.44185Z,False,ALTERNATE
DraftKings,Football,NFL,2024-10-22,00:15:00,BAL Ravens @ TB Buccaneers,Total Alternate,Over 58,+240,2024-10-21T02:32:41.57096Z,False,ALTERNATE
DraftKings,Football,NFL,2024-10-22,00:15:00,BAL Ravens @ TB Buccaneers,Total Alternate,Under 58,−305,2024-10-21T02:32:41.69889Z,False,ALTERNATE
DraftKings,Football,NFL,2024-10-21,00:22:44,NY Jets @ PIT Steelers,Total Alternate,Over 58.5,+250,2024-10-21T02:32:41.82390Z,False,ALTERNATE
DraftKings,Football,NFL,2024-10-22,00:15:00,BAL Ravens @ TB Buccaneers,Total Alternate,Over 58.5,+248,2024-10-21T02:32:41.98292Z,False,ALTERNATE
DraftKings,Football,NFL,2024-10-21,00:22:44,NY Jets @ PIT Steelers,Total Alternate,Under 58.5,−345,2024-10-21T02:32:42.12595Z,False,ALTERNATE
DraftKings,Football,NFL,2024-10-22,00:15:00,BAL Ravens @ TB Buccaneers,Total Alternate,Under 58.5,−317,2024-10-21T02:32:42.27975Z,False,ALTERNATE
DraftKings,Football,NFL,2024-10-22,00:15:00,BAL Ravens @ TB Buccaneers,Total Alternate,Over 59,+269,2024-10-21T02:32:42.42282Z,False,ALTERNATE
DraftKings,Football,NFL,2024-10-22,00:15:00,BAL Ravens @ TB Buccaneers,Total Alternate,Under 59,−347,2024-10-21T02:32:42.58076Z,False,ALTERNATE
DraftKings,Football,NFL,2024-10-22,00:15:00,BAL Ravens @ TB Buccaneers,Total Alternate,Over 59.5,+276,2024-10-21T02:32:42.72575Z,False,ALTERNATE
DraftKings,Football,NFL,2024-10-22,00:15:00,BAL Ravens @ TB Buccaneers,Total Alternate,Under 59.5,−358,2024-10-21T02:32:42.86975Z,False,ALTERNATE
DraftKings,Football,NFL,2024-10-22,00:15:00,BAL Ravens @ TB Buccaneers,Total Alternate,Over 60,+299,2024-10-21T02:32:43.00775Z,False,ALTERNATE
DraftKings,Football,NFL,2024-10-22,00:15:00,BAL Ravens @ TB Buccaneers,Total Alternate,Under 60,−391,2024-10-21T02:32:43.14575Z,False,ALTERNATE
DraftKings,Football,NFL,2024-10-22,00:15:00,BAL Ravens @ TB Buccaneers,Total Alternate,Over 60.5,+306,2024-10-21T02:32:43.29922Z,False,ALTERNATE
DraftKings,Football,NFL,2024-10-22,00:15:00,BAL Ravens @ TB Buccaneers,Total Alternate,Under 60.5,−403,2024-10-21T02:32:43.42777Z,False,ALTERNATE
DraftKings,Football,NFL,2024-10-22,00:15:00,BAL Ravens @ TB Buccaneers,Total Alternate,Over 61,+343,2024-10-21T02:32:43.62092Z,False,ALTERNATE
DraftKings,Football,NFL,2024-10-22,00:15:00,BAL Ravens @ TB Buccaneers,Total Alternate,Under 61,−461,2024-10-21T02:32:43.76692Z,False,ALTERNATE
DraftKings,Football,NFL,2024-10-21,00:22:44,NY Jets @ PIT Steelers,Total Alternate,Over 61.5,+390,2024-10-21T02:32:43.95564Z,False,ALTERNATE
DraftKings,Football,NFL,2024-10-22,00:15:00,BAL Ravens @ TB Buccaneers,Total Alternate,Over 61.5,+354,2024-10-21T02:32:44.13961Z,False,ALTERNATE
DraftKings,Football,NFL,2024-10-21,00:22:44,NY Jets @ PIT Steelers,Total Alternate,Under 61.5,−600,2024-10-21T02:32:44.34463Z,False,ALTERNATE
DraftKings,Football,NFL,2024-10-22,00:15:00,BAL Ravens @ TB Buccaneers,Total Alternate,Under 61.5,−478,2024-10-21T02:32:44.56264Z,False,ALTERNATE
DraftKings,Football,NFL,2024-10-22,00:15:00,BAL Ravens @ TB Buccaneers,Total Alternate,Over 62,+382,2024-10-21T02:32:44.72164Z,False,ALTERNATE
DraftKings,Football,NFL,2024-10-22,00:15:00,BAL Ravens @ TB Buccaneers,Total Alternate,Under 62,−525,2024-10-21T02:32:44.84864Z,False,ALTERNATE
DraftKings,Football,NFL,2024-10-22,00:15:00,BAL Ravens @ TB Buccaneers,Total Alternate,Over 62.5,+390,2024-10-21T02:32:44.99264Z,False,ALTERNATE
DraftKings,Football,NFL,2024-10-22,00:15:00,BAL Ravens @ TB Buccaneers,Total Alternate,Under 62.5,−538,2024-10-21T02:32:45.13976Z,False,ALTERNATE
DraftKings,Football,NFL,2024-10-21,00:22:44,NY Jets @ PIT Steelers,Total Alternate,Over 64.5,+650,2024-10-21T02:32:45.27976Z,False,ALTERNATE
DraftKings,Football,NFL,2024-10-21,00:22:44,NY Jets @ PIT Steelers,Total Alternate,Under 64.5,−1150,2024-10-21T02:32:45.40976Z,False,ALTERNATE
