sportsbook,sport,league_info,game_date,game_time,game_participants,market,bet_selection_name,price,time_retrieved,suspended,line
DraftKings,Football,NFL,2024-10-22,00:15:00,BAL Ravens @ TB Buccaneers,Spread Alternate,TB Buccaneers +10,−305,2024-10-21T01:58:30.76011Z,False,ALTERNATE
DraftKings,Football,NFL,2024-10-22,01:00:00,LA Chargers @ ARI Cardinals,Spread Alternate,ARI Cardinals +10,−477,2024-10-21T01:58:30.90313Z,False,ALTERNATE
DraftKings,Football,NFL,2024-10-21,00:22:44,NY Jets @ PIT Steelers,Spread Alternate,NY Jets -9.5,+290,2024-10-21T01:58:31.04412Z,False,ALTERNATE
DraftKings,Football,NFL,2024-10-22,00:15:00,BAL Ravens @ TB Buccaneers,Spread Alternate,BAL Ravens -9.5,+210,2024-10-21T01:58:31.19313Z,False,ALTERNATE
DraftKings,Football,NFL,2024-10-22,01:00:00,LA Chargers @ ARI Cardinals,Spread Alternate,LA Chargers -9.5,+307,2024-10-21T01:58:31.32713Z,False,ALTERNATE
DraftKings,Football,NFL,2024-10-21,00:22:44,NY Jets @ PIT Steelers,Spread Alternate,PIT Steelers +9.5,−410,2024-10-21T01:58:31.44611Z,False,ALTERNATE
DraftKings,Football,NFL,2024-10-22,00:15:00,BAL Ravens @ TB Buccaneers,Spread Alternate,TB Buccaneers +9.5,−264,2024-10-21T01:58:31.58213Z,False,ALTERNATE
DraftKings,Football,NFL,2024-10-22,01:00:00,LA Chargers @ ARI Cardinals,Spread Alternate,ARI Cardinals +9.5,−404,2024-10-21T01:58:31.72511Z,False,ALTERNATE
DraftKings,Football,NFL,2024-10-22,00:15:00,BAL Ravens @ TB Buccaneers,Spread Alternate,BAL Ravens -9,+206,2024-10-21T01:58:31.84913Z,False,ALTERNATE
DraftKings,Football,NFL,2024-10-22,01:00:00,LA Chargers @ ARI Cardinals,Spread Alternate,LA Chargers -9,+302,2024-10-21T01:58:31.98311Z,False,ALTERNATE
DraftKings,Football,NFL,2024-10-22,00:15:00,BAL Ravens @ TB Buccaneers,Spread Alternate,TB Buccaneers +9,−258,2024-10-21T01:58:32.22211Z,False,ALTERNATE
DraftKings,Football,NFL,2024-10-22,01:00:00,LA Chargers @ ARI Cardinals,Spread Alternate,ARI Cardinals +9,−396,2024-10-21T01:58:32.35911Z,False,ALTERNATE
DraftKings,Football,NFL,2024-10-22,00:15:00,BAL Ravens @ TB Buccaneers,Spread Alternate,BAL Ravens -8.5,+196,2024-10-21T01:58:32.50013Z,False,ALTERNATE
DraftKings,Football,NFL,2024-10-22,01:00:00,LA Chargers @ ARI Cardinals,Spread Alternate,LA Chargers -8.5,+286,2024-10-21T01:58:32.64014Z,False,ALTERNATE
DraftKings,Football,NFL,2024-10-22,00:15:00,BAL Ravens @ TB Buccaneers,Spread Alternate,TB Buccaneers +8.5,−245,2024-10-21T01:58:32.77314Z,False,ALTERNATE
DraftKings,Football,NFL,2024-10-22,01:00:00,LA Chargers @ ARI Cardinals,Spread Alternate,ARI Cardinals +8.5,−373,2024-10-21T01:58:32.91119Z,False,ALTERNATE
DraftKings,Football,NFL,2024-10-22,00:15:00,BAL Ravens @ TB Buccaneers,Spread Alternate,BAL Ravens -8,+188,2024-10-21T01:58:33.03612Z,False,ALTERNATE
DraftKings,Football,NFL,2024-10-22,01:00:00,LA Chargers @ ARI Cardinals,Spread Alternate,LA Chargers -8,+278,2024-10-21T01:58:33.18719Z,False,ALTERNATE
DraftKings,Football,NFL,2024-10-22,00:15:00,BAL Ravens @ TB Buccaneers,Spread Alternate,TB Buccaneers +8,−235,2024-10-21T01:58:33.42211Z,False,ALTERNATE
DraftKings,Football,NFL,2024-10-22,01:00:00,LA Chargers @ ARI Cardinals,Spread Alternate,ARI Cardinals +8,−361,2024-10-21T01:58:33.59119Z,False,ALTERNATE
